0.005,39.3
0.01,34.8
0.015,32.4
0.02,31.2
0.025,31.1
0.03,35.1
0.035,31.5
0.04,31.5
0.045,32.0
0.05,31.6
0.055,33.3
0.06,33.6
0.065,32.1
0.07,31.5
0.075,32.1
0.08,31.7
0.085,31.7
0.09,32.2
0.095,34.0
0.1,35.8
0.105,34.1
0.11,32.3
0.115,31.6
0.12,31.7
0.125,31.7
0.13,31.5
0.135,31.6
0.14,31.7
0.145,32.3
0.15,31.8
0.155,31.7
0.16,31.6
0.165,31.6
0.17,31.7
0.175,31.4
0.18,31.5
0.185,31.6
0.19,31.6
0.195,31.5
0.2,31.6
0.205,31.5
0.21,31.6
0.215,31.6
0.22,31.5
0.225,31.8
0.23,31.5
0.235,31.8
0.24,31.5
0.245,31.4
0.25,31.4
